model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_scratch_007_16,results\models\subject_spec_scratch_007_16.pth,,subject_spec_scratch,007,,16,scratch,2311,39,59,11,8.16318416595459,8.1631498336792,8.1631498336792,148.5073046684265,True
subject_spec_scratch_007_17,results\models\subject_spec_scratch_007_17.pth,,subject_spec_scratch,007,,17,scratch,2321,35,53,4,3.941692590713501,3.9489986896514893,3.9489986896514893,90.56078457832336,True
subject_spec_scratch_007_18,results\models\subject_spec_scratch_007_18.pth,,subject_spec_scratch,007,,18,scratch,2312,38,59,16,6.895188808441162,6.898303985595703,6.898303985595703,193.5966658592224,True
subject_spec_scratch_007_19,results\models\subject_spec_scratch_007_19.pth,,subject_spec_scratch,007,,19,scratch,2311,39,59,1,11.515734672546387,11.522916793823242,11.522916793823242,67.65286612510681,True
subject_spec_scratch_007_20,results\models\subject_spec_scratch_007_20.pth,,subject_spec_scratch,007,,20,scratch,2312,38,59,2,15.366069793701172,15.364768981933594,15.364768981933594,72.6800765991211,True
subject_spec_scratch_007_21,results\models\subject_spec_scratch_007_21.pth,,subject_spec_scratch,007,,21,scratch,2312,38,59,4,11.725040435791016,11.724806785583496,11.724806785583496,91.0373899936676,True
subject_spec_scratch_007_22,results\models\subject_spec_scratch_007_22.pth,,subject_spec_scratch,007,,22,scratch,2311,39,59,9,7.977664947509766,7.980207443237305,7.980207443237305,134.146714925766,True
subject_spec_scratch_007_23,results\models\subject_spec_scratch_007_23.pth,,subject_spec_scratch,007,,23,scratch,2312,38,59,9,10.38061809539795,10.383454322814941,10.383454322814941,131.91564869880676,True
subject_spec_scratch_007_24,results\models\subject_spec_scratch_007_24.pth,,subject_spec_scratch,007,,24,scratch,2312,38,59,12,13.6470308303833,13.646172523498535,13.646172523498535,156.82918047904968,True
subject_spec_scratch_023_0,results\models\subject_spec_scratch_023_0.pth,,subject_spec_scratch,023,,0,scratch,2225,38,59,7,15.820688247680664,15.821340560913086,15.821340560913086,107.34744429588318,True
subject_spec_scratch_023_1,results\models\subject_spec_scratch_023_1.pth,,subject_spec_scratch,023,,1,scratch,2224,39,59,4,11.123549461364746,11.128808975219727,11.128808975219727,82.67135572433472,True
subject_spec_scratch_023_2,results\models\subject_spec_scratch_023_2.pth,,subject_spec_scratch,023,,2,scratch,2235,34,53,2,8.193675994873047,8.19302749633789,8.19302749633789,70.29261136054993,True
subject_spec_scratch_023_3,results\models\subject_spec_scratch_023_3.pth,,subject_spec_scratch,023,,3,scratch,2225,38,59,2,10.546703338623047,10.546860694885254,10.546860694885254,71.982750415802,True
subject_spec_scratch_023_4,results\models\subject_spec_scratch_023_4.pth,,subject_spec_scratch,023,,4,scratch,2235,34,53,1,9.267131805419922,9.272929191589355,9.272929191589355,64.24326515197754,True
subject_spec_scratch_023_5,results\models\subject_spec_scratch_023_5.pth,,subject_spec_scratch,023,,5,scratch,2231,36,55,3,14.813450813293457,14.822836875915527,14.822836875915527,80.48389625549316,True
subject_spec_scratch_023_6,results\models\subject_spec_scratch_023_6.pth,,subject_spec_scratch,023,,6,scratch,2224,39,59,2,7.660290718078613,7.657332897186279,7.657332897186279,72.2702054977417,True
subject_spec_scratch_023_7,results\models\subject_spec_scratch_023_7.pth,,subject_spec_scratch,023,,7,scratch,2241,32,49,11,3.78176212310791,3.781919240951538,3.781919240951538,145.32835841178894,True
subject_spec_scratch_023_8,results\models\subject_spec_scratch_023_8.pth,,subject_spec_scratch,023,,8,scratch,2225,38,59,2,8.28542709350586,8.284049987792969,8.284049987792969,71.81261587142944,True
subject_spec_scratch_023_9,results\models\subject_spec_scratch_023_9.pth,,subject_spec_scratch,023,,9,scratch,2224,39,59,1,13.963444709777832,13.963069915771484,13.963069915771484,64.43412232398987,True
subject_spec_scratch_023_10,results\models\subject_spec_scratch_023_10.pth,,subject_spec_scratch,023,,10,scratch,2230,36,56,3,14.371639251708984,14.382255554199219,14.382255554199219,81.06060910224915,True
subject_spec_scratch_023_11,results\models\subject_spec_scratch_023_11.pth,,subject_spec_scratch,023,,11,scratch,2234,35,53,10,5.919764518737793,5.921491622924805,5.921491622924805,138.1092791557312,True
subject_spec_scratch_023_12,results\models\subject_spec_scratch_023_12.pth,,subject_spec_scratch,023,,12,scratch,2233,35,54,12,0.39319559931755066,0.396663099527359,0.396663099527359,154.35173416137695,True
subject_spec_scratch_023_13,results\models\subject_spec_scratch_023_13.pth,,subject_spec_scratch,023,,13,scratch,2226,38,58,5,7.079748153686523,7.072739124298096,7.072739124298096,97.09566164016724,True
subject_spec_scratch_023_14,results\models\subject_spec_scratch_023_14.pth,,subject_spec_scratch,023,,14,scratch,2233,35,54,1,12.1260404586792,12.121532440185547,12.121532440185547,65.71438145637512,True
subject_spec_scratch_023_15,results\models\subject_spec_scratch_023_15.pth,,subject_spec_scratch,023,,15,scratch,2226,38,58,3,14.8961820602417,14.893555641174316,14.893555641174316,80.82020211219788,True
subject_spec_scratch_023_16,results\models\subject_spec_scratch_023_16.pth,,subject_spec_scratch,023,,16,scratch,2228,37,57,5,8.307802200317383,8.306131362915039,8.306131362915039,97.82425093650818,True
subject_spec_scratch_023_17,results\models\subject_spec_scratch_023_17.pth,,subject_spec_scratch,023,,17,scratch,2225,38,59,11,3.8851048946380615,3.88801908493042,3.88801908493042,143.6130337715149,True
subject_spec_scratch_023_18,results\models\subject_spec_scratch_023_18.pth,,subject_spec_scratch,023,,18,scratch,2230,36,56,1,2.6878600120544434,2.687990188598633,2.687990188598633,64.81797003746033,True
subject_spec_scratch_023_19,results\models\subject_spec_scratch_023_19.pth,,subject_spec_scratch,023,,19,scratch,2229,37,56,1,9.295860290527344,9.286290168762207,9.286290168762207,65.20388579368591,True
subject_spec_scratch_023_20,results\models\subject_spec_scratch_023_20.pth,,subject_spec_scratch,023,,20,scratch,2239,33,50,12,15.902521133422852,15.905603408813477,15.905603408813477,153.9301040172577,True
subject_spec_scratch_023_21,results\models\subject_spec_scratch_023_21.pth,,subject_spec_scratch,023,,21,scratch,2230,36,56,2,12.007625579833984,12.006861686706543,12.006861686706543,72.71316051483154,True
subject_spec_scratch_023_22,results\models\subject_spec_scratch_023_22.pth,,subject_spec_scratch,023,,22,scratch,2227,38,57,2,6.603379249572754,6.603793144226074,6.603793144226074,72.65877532958984,True
subject_spec_scratch_023_23,results\models\subject_spec_scratch_023_23.pth,,subject_spec_scratch,023,,23,scratch,2224,39,59,3,9.553179740905762,9.558490753173828,9.558490753173828,81.6781656742096,True
subject_spec_scratch_023_24,results\models\subject_spec_scratch_023_24.pth,,subject_spec_scratch,023,,24,scratch,2225,38,59,1,8.636898040771484,8.636484146118164,8.636484146118164,64.75772643089294,True
subject_spec_scratch_034_0,results\models\subject_spec_scratch_034_0.pth,,subject_spec_scratch,034,,0,scratch,2205,36,56,2,13.589264869689941,13.595046997070312,13.595046997070312,71.42950367927551,True
subject_spec_scratch_034_1,results\models\subject_spec_scratch_034_1.pth,,subject_spec_scratch,034,,1,scratch,2206,36,55,6,10.38394832611084,10.378860473632812,10.378860473632812,102.29693055152893,True
subject_spec_scratch_034_2,results\models\subject_spec_scratch_034_2.pth,,subject_spec_scratch,034,,2,scratch,2202,38,57,2,7.7815937995910645,7.780104160308838,7.780104160308838,71.91270565986633,True
subject_spec_scratch_034_3,results\models\subject_spec_scratch_034_3.pth,,subject_spec_scratch,034,,3,scratch,2205,36,56,11,11.203564643859863,11.204111099243164,11.204111099243164,140.9760799407959,True
subject_spec_scratch_034_4,results\models\subject_spec_scratch_034_4.pth,,subject_spec_scratch,034,,4,scratch,2208,35,54,14,16.43970489501953,16.437597274780273,16.437597274780273,164.4275839328766,True
subject_spec_scratch_034_5,results\models\subject_spec_scratch_034_5.pth,,subject_spec_scratch,034,,5,scratch,2206,36,55,6,15.11620044708252,15.11508560180664,15.11508560180664,104.04649591445923,True
subject_spec_scratch_034_6,results\models\subject_spec_scratch_034_6.pth,,subject_spec_scratch,034,,6,scratch,2206,36,55,2,5.709159851074219,5.710879325866699,5.710879325866699,71.75052881240845,True
subject_spec_scratch_034_7,results\models\subject_spec_scratch_034_7.pth,,subject_spec_scratch,034,,7,scratch,2210,34,53,2,3.7897894382476807,3.7918906211853027,3.7918906211853027,72.87884259223938,True
