num_blocks,base_channel,adaptive_pool_out,hidden_dim,activation,loss_function,optimizer,learning_rate,best_epoch,best_val_loss,test_loss,mean_test_angular_error,runtime_sec,stopped_early
3,16,"(1, 1)",64,leakyrelu,mse,adam,0.01,29,10989.041625976562,11088.907365387562,3.582211793637743,329.77,False
4,32,"(1, 1)",64,leakyrelu,mse,adam,0.01,14,10739.863690544576,10764.568153530943,3.592972304306778,392.12,True
2,32,"(3, 4)",64,relu,mse,adam,0.01,30,11729.63151999081,11651.282441980698,3.5973455742293714,479.27,False
4,32,"(1, 1)",64,relu,angular_error_squared,adam,0.01,20,18.747521428500903,18.81522976183424,3.6008831052219166,528.28,True
3,32,"(3, 4)",128,relu,angular_error,adam,0.001,30,3.6412103561794056,3.6205843149446975,3.6205843149446975,590.98,False
3,32,"(3, 4)",64,relu,angular_error_squared,adam,0.001,30,21.759204247418573,21.614327692518046,3.643603250092151,591.4,False
4,32,"(1, 1)",128,leakyrelu,angular_error_squared,adam,0.001,29,18.911975271561566,18.89635846194099,3.6624006477056765,658.88,False
3,32,"(3, 4)",128,relu,angular_error_squared,adam,0.001,30,21.081015320385205,21.237047644222486,3.668338319834541,590.98,False
3,32,"(3, 4)",64,relu,angular_error,adam,0.001,30,3.6931536548277912,3.6711923328100466,3.6711923328100466,591.44,False
3,16,"(1, 1)",64,leakyrelu,angular_error_squared,adam,0.01,30,19.004723997677075,19.046006352293727,3.702762066149244,336.12,False
3,16,"(3, 4)",128,leakyrelu,angular_error,adam,0.001,30,3.761028132017921,3.7071450668222763,3.7071450668222763,341.97,False
4,32,"(1, 1)",128,leakyrelu,mse,adam,0.001,30,11651.981789981617,11601.572993259804,3.74898819362416,653.25,False
4,16,"(1, 1)",64,relu,angular_error_squared,adam,0.01,22,20.898036564097684,20.691652737411797,3.7566846749361824,320.49,True
3,32,"(3, 4)",32,leakyrelu,angular_error,adam,0.001,30,3.7839565206976498,3.765224566646651,3.765224566646651,589.95,False
3,16,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.001,30,23.10324666079353,22.87837963478238,3.813034672363132,342.66,False
3,32,"(3, 4)",128,relu,mse,adam,0.001,30,13425.972512637867,13268.147767310049,3.829472223917643,584.51,False
4,32,"(1, 1)",64,leakyrelu,angular_error,adam,0.01,15,3.851308822631836,3.831206569484636,3.831206569484636,417.64,True
2,16,"(3, 4)",64,relu,angular_error_squared,adam,0.01,26,23.347479680005243,23.09581247965495,3.881441123345319,302.5,True
3,32,"(3, 4)",32,leakyrelu,angular_error_squared,adam,0.001,30,22.47630517623004,22.630085991878136,3.8972724652757833,590.18,False
3,16,"(3, 4)",64,leakyrelu,angular_error,adam,0.001,30,3.869626571150387,3.9132808540381636,3.9132808540381636,342.18,False
3,32,"(3, 4)",32,relu,mse,adam,0.001,30,13736.314453125,13780.607661228554,3.916175924095453,584.52,False
4,32,"(1, 1)",64,leakyrelu,mse,adam,0.001,30,12612.551413143383,12675.238032322304,3.9516122761894676,652.59,False
4,32,"(1, 1)",128,leakyrelu,angular_error_squared,adam,0.01,14,22.11853296616498,22.167707331040326,3.999536813474169,395.76,True
4,16,"(1, 1)",64,leakyrelu,angular_error_squared,adam,0.01,24,23.087503643596875,22.861811282587986,4.006609584770951,344.07,True
4,32,"(1, 1)",32,leakyrelu,mse,adam,0.001,29,13033.848905675552,13010.339815027573,4.0496821263257194,653.29,False
